12/03/2019 11:33:57 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:34:40 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:34:40 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:34:40 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 11:34:40 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:34:40 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:34:40 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:34:40 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:36:23 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:36:23 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:36:23 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 11:36:23 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:36:23 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:36:23 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:36:23 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:37:09 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:37:09 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:37:09 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 11:37:09 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:37:09 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:37:09 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:37:09 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:37:35 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:37:35 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:37:35 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 11:37:35 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:37:35 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:37:35 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:37:35 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/04/2019 09:48:19 AM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/04/2019 09:48:19 AM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/04/2019 09:48:19 AM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/04/2019 09:48:19 AM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/04/2019 09:48:19 AM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/04/2019 09:48:19 AM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/04/2019 09:48:19 AM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/04/2019 09:48:22 AM - root - INFO - TOPIC:Server; EVENT:Server started;
12/04/2019 09:48:22 AM - root - INFO - TOPIC:Server; EVENT:Connection attempt;
12/04/2019 09:48:50 AM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/04/2019 09:48:50 AM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/04/2019 09:48:52 AM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/04/2019 09:48:55 AM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/04/2019 09:48:55 AM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/04/2019 09:48:55 AM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/04/2019 09:48:55 AM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/04/2019 09:48:55 AM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/04/2019 09:48:55 AM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/04/2019 09:50:07 AM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/04/2019 09:50:07 AM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/04/2019 09:50:07 AM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/04/2019 09:50:07 AM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/04/2019 09:50:07 AM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/04/2019 09:50:07 AM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/04/2019 09:50:07 AM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/04/2019 09:50:08 AM - root - INFO - TOPIC:Server; EVENT:Server started;
12/04/2019 09:50:08 AM - root - INFO - TOPIC:Server; EVENT:Connection attempt;
12/04/2019 09:50:16 AM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/04/2019 09:50:16 AM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/04/2019 09:50:17 AM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/04/2019 09:50:21 AM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/04/2019 09:50:21 AM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/04/2019 09:50:21 AM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/04/2019 09:50:21 AM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/04/2019 09:50:21 AM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/04/2019 09:50:21 AM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/04/2019 09:52:11 AM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/04/2019 09:52:11 AM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/04/2019 09:52:11 AM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/04/2019 09:52:11 AM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/04/2019 09:52:11 AM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/04/2019 09:52:11 AM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/04/2019 09:52:11 AM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/04/2019 09:52:12 AM - root - INFO - TOPIC:Server; EVENT:Server started;
